Track Names,Artist Names
Chills,"Olivia King, Gaming Playlist"
Grateful,NEFFEX
Xenogenesis,TheFatRat
Fed Up,Bazanji
Miss You,"Levianth, Harley Bird"
Fight Back,NEFFEX
Rise Up,TheFatRat
Forget,"Ericovich, IAN SIZE, Azurah"
All Around the World (La La La),"R3HAB, A Touch Of Class"
Break Free,"EBEN, Nito-Onna"
Stronger,"TheFatRat, Slaydit, Anjulie"
Ill Stay,"Phaera, Fakti"
Roses - Imanbek Remix,"SAINt JHN, Imanbek"
Fly Away,"TheFatRat, Anjulie"
Cold,NEFFEX
Bleeding Love,Jamie Nugent
Dont,"ECSTASY, Turbo, Calibur, Alice May"
GHOST,RudyWade
Hold My Wings,"Murdbrain, Savrokks, Aloma Steele"
Cant Feel My Face (feat. Ember Island),"Steve Void, Dance Fruits Music, Ember Island"
Lullaby,"R3HAB, Mike Williams"
That Way,Xuitcasecity
Phantasy Star Online,"Deko, Yameii"
Arigato,Julie Bergan
Euphoria,Ozlig
PS5 (Fortnite Battle Pass Gamer Remix) with Alan Walker & Abdul Cisse,"salem ilese, Alan Walker, Abdul Cisse"
Pokemon Ü,"Broderick Jones, ""Its Different"""
