Track Names,Artist Names
The Other Side,"ROY KNOX, CRVN"
Future Vibes,"K.Safo, Alex Skrindo, Stewart Wallace"
Somebody Like You,"Vicetone, Lena Leon"
You Look So Pretty,Sad Puppy
Outerspace,"BEAUZ, Dallas"
You Need You,"CryJaxx, Rosendale"
Level Up,Konrad Mil
Monster,"RIELL, Raven Link"
Save Me,"ROY KNOX, Tim Beeren, Svniivan"
Burn It Down,"Robin Hustin, Jessica Chertock"
We Are,"Jo Cohen, Whales"
Vision pt. II,"Lost Sky, She Is Jules"
Fearless Pt. II,"Lost Sky, Chris Linton"
Invincible Pt. II,"Deaf Kev, Sendi Hoxha"
Oceans & Galaxies,"Jauz, HALIENE"
Royalty,"Egzod, Maestro Chives, Neoni"
Waiting,"KUURO, Bianca"
Shining,ROY KNOX
Keep You,"Spektrum, Sara Skinner"
Shadows,"ROY KNOX, WTCHOUT, Svniivan"
Enslaved,"Barren Gates, M.I.M.E"
Invisible,"Zeus X Crona, Julius Dreisig"
Mortals,Warriyo
Dreams pt. II,"Lost Sky, Sara Skinner"
Howling - Andromedik Remix,"Cartoon, Asena, Andromedik"
Cant Break Me Down,PHI NIX
Empty Bed,Saint Punk
The Monster,"Eminem, Rihanna"
Amnesia (feat. GASHI),"Loud Luxury, Ship Wrek, GASHI"
Reasons,COTIS
Army,"Besomorph, Arcando, Neoni"
Close - Brooks Remix,"Brooks, Molly Ann, IZECOLD"
Light It Up,"Robin Hustin, TobiMorrow, Jex"
Crazy,"BEAUZ, JVNA"
The Path,"Wiguez, EH!DE, Agassi"
Control,"Unknown Brain, Jex, Rival"
Never Have I Felt This,Koven
Clear My Head,ellis
Everything,Diamond Eyes
Not Enough,Near x Far
Stay With Me,"SPIRIT LINK, Swole Sauce, Tom The Gaffer"
Find A Way,"T & Sugah, NCT, Cammie Robinson"
Stardust,"Miyoki, T & Sugah, NCT"
Drop In The Ocean,"Poylow, Harry Taylor, MAD SNAX, India Dupriez"
