Track Names,Artist Names
Playground (from the series Arcane League of Legends),"Bea Miller, Arcane, League of Legends"
Dynasties & Dystopia (from the series Arcane League of Legends),"Denzel Curry, Gizzle, Bren Joy, Arcane, League of Legends"
Legends Never Die,"League of Legends, Against The Current"
RISE,"League of Legends, Mako, The Word Alive, The Glitch Mob"
Phoenix,"League of Legends, Cailin Russo, Chrissy Costanza"
Burn It All Down,"League of Legends, PVRIS"
Warriors,"League of Legends, 2WEI, Edda Hayes"
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends"
Die For You,"VALORANT, Grabbitz"
Misfit Toys (from the series Arcane League of Legends),"Pusha T, Mako, Arcane, League of Legends"
Take Over,"League of Legends, MAX, Jeremy McKinnon of A Day To Remember, HENRY"
Ill Find a Way,"League of Legends, TELLE"
Snakes (from the series Arcane League of Legends),"MIYAVI, PVRIS, Arcane, League of Legends"
Entertain Me,Ylona Garcia
