Track Names,Artist Names
Sunburn,DROELOE
The Best Part of Life,SAINt JHN
BACKBONE,"DROELOE, Nevve"
Leaving,ILLENIUM
Dawg Shit,"Pretty Pacc, 6 Dogs"
Running Away,"Taska Black, DROELOE, CUT_"
Paper Thin,"ILLENIUM, Tom DeLonge, Angels & Airwaves"
Still Be Friends (feat. Tory Lanez & Tyga),"G-Eazy, Tory Lanez, Tyga"
NECROMANCER,"Jadeci, HAARPER"
Roadside Flowers,"DROELOE, Iris Penning"
DEITY,Aries
sriracha,"bbno$, lentra"
Toosie Slide,Drake
Weird Machine,"DROELOE, Nevve"
Air Max,Spider Mc
ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch"
Kintsugi,DROELOE
Deep End (feat. Lil Skies),"Bankrol Hayden, Lil Skies"
Doja,Central Cee
Fractures,"ILLENIUM, Nevve"
Stay,iamjakehill
Space Cadet (feat. Gunna),"Metro Boomin, Gunna"
Sticky,Drake
Righteous,Juice WRLD
Unforgettable,"French Montana, Swae Lee"
Come & Go (with Marshmello),"Juice WRLD, Marshmello"
INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow"
MONTERO (Call Me By Your Name),Lil Nas X
finale,Dante Red
Ballin,"Logic, Castro"
Blueberry Faygo,Lil Mosey
edamame (feat. Rich Brian),"bbno$, Rich Brian"
Chosen,Thekidszn
Mask Off,Future
Astronaut In The Ocean,Masked Wolf
Lalala,"Y2K, bbno$"
Mood (feat. iann dior),"24kGoldn, iann dior"
Whip A Tesla,"Yung Gravy, bbno$"
bad to the bone,"bbno$, lentra"
Precious,Arcane
Obsessed With You,Central Cee
The Box,Roddy Ricch
Louis Vuitton,Aitch
Trap (feat. Lil Baby),"SAINt JHN, Lil Baby"
