Track Names,Artist Names
Circles,Post Malone
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee"
rockstar (feat. 21 Savage),"Post Malone, 21 Savage"
Congratulations,"Post Malone, Quavo"
Psycho (feat. Ty Dolla $ign),"Post Malone, Ty Dolla $ign"
Better Now,Post Malone
Wow.,Post Malone
Motley Crew,Post Malone
Die For Me (feat. Future & Halsey),"Post Malone, Halsey, Future"
Candy Paint,Post Malone
Sugar Wraith,Post Malone
Jackie Chan,"Preme, Post Malone"
Paranoid,Post Malone
92 Explorer,Post Malone
Go Flex,Post Malone
Same Bitches (feat. G-Eazy & YG),"Post Malone, G-Eazy, YG"
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat"
I Cannot Be (A Sadder Song) (with Gunna),"Post Malone, Gunna"
Otherside,Post Malone
Over Now,Post Malone
Spicy (feat. Post Malone),"Ty Dolla $ign, Post Malone"
Jackie Chan,"Tiësto, Dzeko, Preme, Post Malone"
Saint-Tropez,Post Malone
