Track Names,Artist Names
Keep You Mine,"NOTD, shy martin"
Get With Nobody (feat. Baimz),"KSHMR, Baimz"
Nobody,"NOTD, Catello"
Hurts So Good,Astrid S
I Wanna Know (feat. Bea Miller),"NOTD, Bea Miller"
Love No More,"Loud Luxury, anders"
I Dont Know Why,"NOTD, Astrid S"
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,"Drax Project, Hailee Steinfeld, Sam Feldt"
Dive with you (feat. eaJ),"Seori, eaJ"
So Close,"NOTD, Felix Jaehn, Captain Cuts, Georgia Ku"
Do You Think About Me,"Captain Cuts, Zookëper, Georgia Ku"
Running Through The Night,Seori
Help You Out,"Leonell Cassio, Jonathon Robins"
Trigger,Seori
Lovers In The Night,Seori
